	R1	R3	R2	R4
OTU00001	1943677	1444530	1134547	2052679
OTU00002	2646765	1708634	1528487	2278546
OTU00003	2379	1287	992	1848
OTU00004	9293	3003	7590	8507
OTU00005	776183	487295	443555	674547
OTU00006	29342	10444	23870	25155
OTU00007	6414	4311	3667	5344
OTU00008	3134	2080	1874	2697
OTU00009	253636	160829	144997	214881
OTU00010	1649	1050	986	1585
OTU00011	1168	984	872	1127
OTU00012	411	237	250	332
OTU00013	1631	1068	921	1381
OTU00014	28818	17149	17071	23724
OTU00015	55808	31920	41453	54735
OTU00016	101651	58643	57894	85304
OTU00017	820	560	480	712
OTU00018	649	461	444	571
OTU00019	8672	5522	4886	7158
OTU00020	927	149	644	562
OTU00021	41080	25736	22868	34831
OTU00022	24788	15565	14132	20947
OTU00023	1305	418	239	707
OTU00024	30	23	21	32
OTU00025	114	73	41	106
OTU00026	29129	17468	17352	24055
OTU00027	32175	20199	17304	26921
OTU00028	31484	20147	18189	27561
OTU00029	34	5	0	14
OTU00030	3905	895	3856	2551
OTU00031	68692	43383	39277	60150
OTU00032	12012	7529	6867	10216
OTU00033	8106	2033	6852	6097
OTU00034	664	237	668	427
OTU00035	184	125	112	178
OTU00036	570	367	349	488
OTU00037	11251	3892	3319	3822
OTU00038	2630	1106	1668	2343
OTU00039	22189	6811	3148	10626
OTU00040	124	72	81	98
OTU00041	4	17	0	4
OTU00042	1398	1098	967	1303
OTU00043	35337	20067	27497	28180
OTU00044	845	535	429	622
OTU00045	63	13	12	35
OTU00046	13258	8567	7693	11448
OTU00047	299	74	58	127
OTU00048	1029	902	1960	1429
OTU00049	71	26	6	34
OTU00050	894	523	443	768
OTU00051	915	1154	477	572
OTU00052	300	205	161	269
OTU00053	755	652	552	656
OTU00054	64	37	45	71
OTU00055	18332	11735	9808	14893
OTU00056	8	3	2	0
OTU00057	25654	16348	14554	21708
OTU00058	262	185	135	295
OTU00059	287	195	171	262
OTU00060	1408	408	1047	1090
OTU00061	767	438	417	650
OTU00062	1340	861	738	1093
OTU00063	3497	1002	946	1619
OTU00064	360	230	211	298
OTU00065	42	143	25	171
OTU00066	4985	3228	2871	4186
OTU00067	1655	1018	970	1402
OTU00068	739	433	411	585
OTU00069	2142	802	1379	2045
OTU00070	80	56	56	78
OTU00071	1092	471	785	1143
OTU00072	5289	1733	3840	3316
OTU00073	180	43	146	107
OTU00074	618	611	597	1074
OTU00075	89	67	53	71
OTU00076	101	34	9	57
OTU00077	285	113	60	256
OTU00078	1538	1003	907	1260
OTU00079	647	103	514	323
OTU00080	300	60	223	108
OTU00081	15	6	5	16
OTU00082	2195	1576	1516	2058
OTU00083	1312	829	786	1121
OTU00084	1	7	0	16
OTU00085	2560	457	2996	1139
OTU00086	348	217	214	327
OTU00087	4902	1971	3274	4861
OTU00088	102	26	8	50
OTU00089	408	128	51	192
OTU00090	3045	1100	3577	1681
OTU00091	1309	862	813	1203
OTU00092	6358	4178	1125	4257
OTU00093	1156	880	804	1099
OTU00094	1714	1068	963	1520
OTU00095	3209	4114	2199	5858
OTU00096	938	573	569	808
OTU00097	6497	4172	3814	5673
OTU00098	561	326	327	412
OTU00099	457	124	49	168
OTU00100	72	47	41	45
OTU00101	4007	2512	2379	3508
OTU00102	944	568	564	730
OTU00103	708	634	411	837
OTU00104	233	166	151	204
OTU00105	958	730	668	1109
OTU00106	37	27	21	30
OTU00107	574	383	332	550
OTU00108	2111	1399	1281	1820
OTU00109	85	55	57	68
OTU00110	3	0	3	5
OTU00111	1844	1188	1047	1645
OTU00112	1214	423	1517	1157
OTU00113	926	490	543	896
OTU00114	276	67	168	201
OTU00115	16	5	1	4
OTU00116	692	470	373	625
OTU00117	3127	1122	381	1844
OTU00118	188	129	85	125
OTU00119	4094	2734	2495	3640
OTU00120	1089	357	183	667
OTU00121	61	23	5	29
OTU00122	64	46	31	48
OTU00123	619	430	367	529
OTU00124	11	19	6	76
OTU00125	101	70	44	88
OTU00126	5	4	3	8
OTU00127	169	80	82	162
OTU00128	1064	686	608	965
OTU00129	4583	2890	2749	3768
OTU00130	45	39	35	48
OTU00131	1872	1282	1220	1559
OTU00132	4193	2961	3023	3914
OTU00133	3762	2423	2189	3296
OTU00134	49	25	23	31
OTU00135	4205	2540	2308	3403
OTU00136	174	116	109	174
OTU00137	1103	574	232	318
OTU00138	188	151	115	193
OTU00139	168	43	19	79
OTU00140	449	140	59	250
OTU00141	42	33	26	34
OTU00142	10	0	0	1
OTU00143	55	51	8	35
OTU00144	172	122	107	163
OTU00145	1093	1018	732	1425
OTU00146	1772	1092	1031	1526
OTU00147	78	49	52	78
OTU00148	77	11	57	34
OTU00149	153	99	89	142
OTU00150	4356	1205	383	2044
OTU00151	25	20	6	22
OTU00152	325	144	50	408
OTU00153	238	34	162	50
OTU00154	718	427	360	596
OTU00155	349	217	205	303
OTU00156	457	294	265	432
OTU00157	11	1	1	1
OTU00158	172	26	13	84
OTU00159	88	61	69	84
OTU00160	1	0	0	0
OTU00161	1487	960	899	1236
OTU00162	553	342	300	521
OTU00163	1078	393	692	984
OTU00164	1278	320	423	784
OTU00165	385	180	316	194
OTU00166	398	224	213	338
OTU00167	369	323	245	407
OTU00168	136	85	68	132
OTU00169	401	282	255	388
OTU00170	303	80	33	135
OTU00171	195	139	147	254
OTU00172	2855	1819	1649	2466
OTU00173	94	20	13	76
OTU00174	746	544	455	620
