	Domain	Phylum	Class	Order	Family	Genus	Species
OTU00001	Unknown
OTU00002	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter cryoconitis
OTU00003	Viruses	 Uroviricota	 Caudoviricetes	 NA	 NA	 NA	 Caudoviricetes sp.
OTU00004	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Salmonella	 Salmonella enterica
OTU00005	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 NA
OTU00006	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 NA	 NA	 NA
OTU00007	Eukaryota	 Zoopagomycota	 Kickxellomycetes	 Kickxellales	 Kickxellaceae	 Coemansia	 NA
OTU00008	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. PACM 27299
OTU00009	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 NA
OTU00010	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas putida
OTU00011	Eukaryota	 Apicomplexa	 Aconoidasida	 Nephromycida	 NA	 Nephromyces	 Nephromyces sp. MMRI
OTU00012	Bacteria	 Bacteroidota	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Deminuibacter	 Deminuibacter soli
OTU00013	Eukaryota	 Mucoromycota	 Mucoromycetes	 Mucorales	 Rhizopodaceae	 Rhizopus	 Rhizopus arrhizus
OTU00014	Bacteria	 Pseudomonadota	 NA	 NA	 NA	 NA	 NA
OTU00015	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 NA	 NA
OTU00016	Bacteria	 NA	 NA	 NA	 NA	 NA	 NA
OTU00017	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 NA
OTU00018	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. Leaf194
OTU00019	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 NA	 NA
OTU00020	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella spallanzanii
OTU00021	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 Phyllobacterium calauticae
OTU00022	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter sp. PAMC26386
OTU00023	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Oscillospiraceae	 NA	 NA
OTU00024	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Nitrobacteraceae	 Nitrobacter	 Nitrobacter winogradskyi
OTU00025	Bacteria	 Actinomycetota	 Actinomycetes	 NA	 NA	 NA	 NA
OTU00026	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia	 Escherichia coli
OTU00027	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 NA
OTU00028	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 NA	 NA	 NA
OTU00029	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Porcincola	 Porcincola intestinalis
