	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU00001	3922	4975	3339	4129	7280	2812	4776	3802	7322	4232	6335	2896	6744	4984	4070	6646
OTU00002	423342	371530	437016	371479	640141	293892	367800	319521	549326	316463	708532	228458	441703	408746	244397	453087
OTU00003	390902	527192	362814	436738	754042	299544	497942	382633	784013	435995	666893	305011	673377	518685	425990	700661
OTU00004	5361	1444	4533	692	11899	1314	1346	621	379	213	4194	123	4642	5152	365	496
OTU00005	3687	490	688	1026	1658	1931	4199	1692	1652	133	2142	714	5994	1169	746	472
OTU00006	113968	151947	104818	130183	235794	83944	152000	113038	239947	117492	190449	90336	194316	148167	117275	197906
OTU00007	127	41	132	35	496	44	14	15	3	7	160	0	53	240	4	23
OTU00008	10175	13535	9311	11883	19801	7476	13234	9890	21007	10647	17085	8107	17746	13312	10460	17833
OTU00009	147	190	123	158	292	118	209	124	254	136	249	98	227	164	144	255
OTU00010	978	288	101	140	0	1	1	73	375	32	334	0	0	0	0	0
OTU00011	9808	3501	2867	2772	5407	6717	11491	3352	6834	724	5741	2909	18808	3014	2753	2113
OTU00012	366	158	514	194	384	1210	1767	384	236	44	885	196	2222	320	404	119
OTU00013	7519	2682	1446	1263	0	0	0	649	3001	423	3075	0	1	0	0	0
OTU00014	32	43	30	32	54	28	28	30	57	45	60	33	58	36	41	60
OTU00015	16597	10182	7594	7600	13166	11372	17639	8737	15566	5407	14972	5487	24682	8470	6955	9490
OTU00016	36296	49880	33867	40386	76782	28235	47967	36451	74869	40631	63330	28429	63071	47719	40366	66064
OTU00017	4570	5263	3758	4482	8552	3580	6420	4075	8206	4053	6466	3064	8596	5041	4007	6629
OTU00018	1220	388	213	193	0	0	2	102	455	53	487	0	0	0	0	0
OTU00019	25	5	17	3	28	1	4	5	0	2	26	0	19	16	4	0
OTU00020	414	75	122	171	181	239	562	175	319	36	186	119	1023	130	127	74
OTU00021	21	41	61	61	75	34	58	33	48	66	53	33	59	38	34	67
OTU00022	34	28	84	36	0	0	0	39	69	41	97	0	0	0	0	0
OTU00023	6595	5508	5650	4877	9886	8166	11599	5140	8972	3769	7736	3319	13066	5936	4413	6449
OTU00024	5995	8170	5452	6367	12338	4267	7789	5848	12464	6266	10005	4593	10258	7874	6219	10610
OTU00025	56	24	96	35	0	0	0	18	81	19	81	0	0	0	0	0
OTU00026	1339	626	63	29	30	5	0	119	166	81	1099	0	5	14	0	0
OTU00027	4429	5521	3894	4548	8471	3513	6279	3904	8427	4149	6651	3164	8496	5235	4396	6927
OTU00028	740	999	677	812	1309	587	902	732	1392	820	1242	535	1317	982	847	1377
OTU00029	584	745	504	607	1035	445	700	582	1131	592	974	423	951	761	621	1015
OTU00030	7030	2441	1216	1078	3	2	1	581	2619	403	2625	0	2	0	1	0
OTU00031	125	163	106	156	225	102	133	119	258	148	219	90	204	135	143	234
OTU00032	57	39	50	31	65	35	40	27	63	31	65	19	57	27	19	42
OTU00033	198	267	172	210	447	149	273	188	418	176	382	157	336	226	231	286
OTU00034	99	38	140	85	0	0	0	36	100	59	154	0	0	0	0	0
OTU00035	209	295	194	267	393	197	272	204	427	267	333	173	367	313	257	414
OTU00036	13	3	0	0	0	3	2	0	3	1	8	0	1	0	0	0
OTU00037	255	169	207	272	251	130	230	129	275	173	305	140	234	237	162	221
OTU00038	3526	1515	6272	2777	0	1	0	2156	5321	2520	7734	0	0	0	1	0
