	Domain	Phylum	Class	Order	Family	Genus	Species
OTU00001	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Moraxellales	 Moraxellaceae	 Acinetobacter	 NA
OTU00002	Unknown
OTU00003	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter cryoconitis
OTU00004	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 NA	 NA	 NA
OTU00005	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Salmonella	 Salmonella enterica
OTU00006	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 NA
OTU00007	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 Hungatella	 Hungatella hathewayi
OTU00008	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas fluorescens
OTU00009	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas sp. 22 E 5
OTU00010	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Budvicia	 Budvicia diplopodorum
OTU00011	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 NA	 NA	 NA
OTU00012	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Citrobacter	 NA
OTU00013	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 NA	 NA
OTU00014	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas reactans
OTU00015	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 NA	 NA
OTU00016	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 NA
OTU00017	Bacteria	 Pseudomonadota	 NA	 NA	 NA	 NA	 NA
OTU00018	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Leminorella	 Leminorella grimontii
OTU00019	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Feifaniaceae	 Feifania	 Feifania hominis
OTU00020	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella michiganensis
OTU00021	Eukaryota	 Ciliophora	 Oligohymenophorea	 Hymenostomatida	 Tetrahymenidae	 Tetrahymena	 Tetrahymena thermophila
OTU00022	Eukaryota	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Phialophora	 Phialophora attinorum
OTU00023	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 NA	 NA	 NA	 NA
OTU00024	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 Phyllobacterium calauticae
OTU00025	Eukaryota	 Apicomplexa	 Aconoidasida	 Piroplasmida	 NA	 NA	 NA
OTU00026	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Lachnospiraceae	 Anaeropeptidivorans	 Anaeropeptidivorans aminofermentans
OTU00027	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia	 Escherichia coli
OTU00028	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter pedocola
OTU00029	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter sp. SG564
OTU00030	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Pragia	 Pragia fontium
OTU00031	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	 Mucilaginibacter pankratovii
OTU00032	Bacteria	 NA	 NA	 NA	 NA	 NA	 uncultured bacterium
OTU00033	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 NA
OTU00034	Bacteria	 Bacteroidota	 NA	 NA	 NA	 NA	 Bacteroidetes bacterium HGW-Bacteroidetes-7
OTU00035	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 Pedobacter	 Pedobacter insulae
OTU00036	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Yersiniaceae	 Serratia	 Serratia entomophila
OTU00037	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Marinobacteraceae	 Marinobacter	 Marinobacter profundi
OTU00038	Eukaryota	 Apicomplexa	 Conoidasida	 Eugregarinorida	 Gregarinidae	 Gregarina	 Gregarina niphandrodes
OTU00039	Bacteria	 NA	 NA	 NA	 NA	 NA	 NA
OTU00040	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella oxytoca
OTU00041	Bacteria	 Bacillota	 NA	 NA	 NA	 NA	 NA
OTU00042	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella grimontii
OTU00043	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Clostridiaceae	 NA	 NA
OTU00044	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 Phyllobacterium myrsinacearum
OTU00045	Eukaryota	 Basidiomycota	 Agaricomycetes	 Agaricales	 Tricholomataceae	 Tricholoma	 Tricholoma matsutake
OTU00046	Bacteria	 Pseudomonadota	 Alphaproteobacteria	 Hyphomicrobiales	 Phyllobacteriaceae	 Phyllobacterium	 NA
OTU00047	Eukaryota	 NA	 NA	 NA	 Vitrellaceae	 Vitrella	 Vitrella brassicaformis
OTU00048	Bacteria	 Bacteroidota	 Chitinophagia	 Chitinophagales	 Chitinophagaceae	 Chitinophaga	 Chitinophaga sp. YR627
OTU00049	Eukaryota	 Ciliophora	 Heterotrichea	 Heterotrichida	 Blepharismidae	 Blepharisma	 NA
OTU00050	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 Pseudomonas syringae
OTU00051	Bacteria	 Bacteroidota	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae	 NA	 NA
OTU00052	Bacteria	 Bacteroidota	 NA	 NA	 NA	 NA	 NA
OTU00053	Eukaryota	 Chytridiomycota	 Chytridiomycetes	 NA	 NA	 NA	 NA
OTU00054	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Coxiella	 Coxiella sp. RIFCSPHIGHO2_12_FULL_44_14
OTU00055	Bacteria	 Bacillota	 Clostridia	 Eubacteriales	 Oscillospiraceae	 NA	 NA
OTU00056	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Limnobaculum	 NA
OTU00057	Bacteria	 Pseudomonadota	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 NA	 NA
OTU00058	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 NA
OTU00059	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Budvicia	 Budvicia aquatica
OTU00060	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Klebsiella	 Klebsiella spallanzanii
OTU00061	Bacteria	 Pseudomonadota	 Gammaproteobacteria	 Enterobacterales	 Budviciaceae	 Leminorella	 Leminorella richardii
OTU00062	Viruses	 Nucleocytoviricota	 Pokkesviricetes	 Chitovirales	 Poxviridae	 Betaentomopoxvirus	 Mythimna separata entomopoxvirus
