Protein	L_gryllorum_count
XP_011129291.1 integrin beta	15
XP_011129347.1 glyceraldehyde-3-phosphate dehyd...	9
XP_011130789.1 putative transporter ATP-binding...	7
XP_021875527.1 hypothetical protein BCR41DRAFT_...	7
KAH0488266.1 MAG: hypothetical protein KVP17_00...	7
XP_011131038.1 hypothetical protein GNI_097130,...	7
XP_011134211.1 putative integrin beta	5
XP_011131468.1 enolase	5
KAK1418595.1 hypothetical protein QVD17_27740	3
XP_011131198.1 heat shock protein 70	3
XP_011130898.1 pentatricopeptide repeat protein	3
XP_011128959.1 putative E3 ubiquitin-protein li...	3
XP_011129933.1 inner membrane complex protein	3
XP_011134041.1 putative calcium-dependent prote...	3
KAH0480719.1 MAG: hypothetical protein KVP17_00...	3
XP_018637679.1 ABC transporter transmembrane re...	3
XP_002368990.1 fructose-bisphosphate aldolase, ...	3
KAH0480619.1 MAG: hypothetical protein KVP17_00...	3
XP_011133322.1 putative chitinase	3
XP_011131620.1 major facilitator family transpo...	3
CAD7278657.1 unnamed protein product	3
XP_011131641.1 oxidoreductase, aldo/keto reduct...	3
XP_011134513.1 sugar transporter	3
XP_011130737.1 putative multidrug resistance pr...	3
XP_011130767.1 putative major facilitator famil...	3
ABV45226.1 gag-pol polyprotein	3
XP_011134414.1 peptidase S8 family domain protein	3
XP_011130228.1 FMN oxidoreductase	3
XP_011132381.1 hypothetical protein GNI_135410	3
XP_011129698.1 putative GDP-fucose transporter	2
XP_011133686.1 hypothetical protein GNI_193450	2
XP_011133061.1 dihydrolipoamide succinyltransfe...	2
XP_011130701.1 phosphdiesterase	2
XP_011132594.1 hexokinase	2
XP_011130055.1 pyruvate kinase	2
XP_011128767.1 galactokinase	2
XP_011132162.1 alpha/beta hydrolase family protein	2
XP_011129304.1 major facilitator family transpo...	2
XP_011131997.1 CGMP-dependent protein kinase	2
XP_011129977.1 cofilin	2
XP_011132516.1 putative chaperonin containing T...	2
XP_053993202.1 uncharacterized protein LOC12888...	2
XP_011129356.1 glycosyltransferase family 92 pr...	2
XP_011134273.1 putative clathrin heavy chain	2
XP_011132527.1 phospholipase D	2
XP_011132266.1 putative phosphate transporter	2
XP_011133106.1 lipase	2
XP_011131432.1 bestrophin	2
XP_020595486.1 putative G3BP-like protein, partial	2
KAH0473922.1 MAG: hypothetical protein KVP18_00...	2
XP_011132275.1 protein kinase domain protein	2
XP_011131153.1 methionine adenosyltransferase	2
KAH0488267.1 MAG: hypothetical protein KVP17_00...	2
XP_011129938.1 hypothetical protein GNI_055630	2
XP_026331371.1 heat shock cognate 71 kDa protei...	2
XP_011132559.1 aldo-keto reductase	2
XP_055388834.1 uncharacterized protein LOC12961...	2
XP_011130057.1 putative C2 domain protein	2
XP_011128924.1 histone deacetylase	2
QIX11770.1 heat shock protein 90	2
XP_011132008.1 putative long-chain-fatty-acid-C...	2
XP_011131859.1 protein kinase domain protein	2
WP_163210895.1 glycoside hydrolase family 97 pr...	2
KXN71830.1 eukaryotic translation initiation fa...	2
XP_011132899.1 phosphorylase	2
XP_011131755.1 BTB/POZ domain protein	2
XP_011132452.1 hypothetical protein GNI_136930	2
KAH0476478.1 MAG: hypothetical protein KVP18_00...	2
XP_011129432.1 apyrase	2
KAH0480428.1 MAG: hypothetical protein KVP17_00...	2
XP_011134237.1 putative carboxypeptidase	2
KAH0472024.1 MAG: hypothetical protein KVP17_00...	2
XP_011129654.1 aldehyde dehydrogenase	2
XP_011134434.1 putative transmembrane protein	2
XP_011128563.1 putative ABC transporter	2
CAK0805134.1 unnamed protein product	2
XP_011132073.1 glutamate-cysteine ligase, catal...	2
XP_011129940.1 mechanosensitive ion channel fam...	2
XP_011134479.1 indolepyruvate decarboxylase	2
XP_011132309.1 putative NAD-dependent epimerase...	2
XP_011128765.1 zinc finger protein	2
KAH0484810.1 MAG: hypothetical protein KVP18_00...	2
CEL93926.1 unnamed protein product	2
XP_011134498.1 putative translation initiation ...	2
XP_011128462.1 ATP-binding protein	2
XP_011130539.1 ring finger protein	2
XP_055388660.1 peptidyl-lysine N-acetyltransfer...	2
MBV5282356.1 2-hydroxyacid dehydrogenase	2
XP_011132928.1 protein phosphatase	2
XP_027202185.1 elongation factor 1-alpha-like	2
XP_011133306.1 putative DnaJ	2
XP_011133304.1 putative transmembrane protein	2
KAH0476950.1 MAG: hypothetical protein KVP17_00...	2
XP_011128977.1 putative ABC transporter	2
XP_011128577.1 DNA-directed RNA polymerase I II	2
CEL99112.1 unnamed protein product	2
XP_011130660.1 elongation factor 2	2
XP_011131729.1 putative long-chain-fatty-acid-C...	2
XP_011131352.1 hypothetical protein GNI_105880	2
XP_011133141.1 MORN repeat protein	2
CEM00603.1 unnamed protein product	2
WP_185624384.1 pyrroline-5-carboxylate reductase	2
XP_029220158.1 Rab11b	2
XP_011132660.1 hypothetical protein GNI_143540	2
XP_011134372.1 major facilitator family transpo...	2
XP_011130611.1 putative transmembrane protein	2
XP_011131963.1 putative transmembrane protein	2
XP_011128585.1 DnaJ domain protein	2
XP_011131581.1 actin	2
XP_011130045.1 esterase, partial	2
XP_011131896.1 protein kinase domain protein	2
KAI8889533.1 glycosyltransferase family 1 protein	2
XP_029220240.1 hypothetical protein BESB_044230	2
XP_011132941.1 hexokinase	2
ABV45229.1 unknown	2
XP_011133204.1 putative guanylyl cyclase	2
KAJ6646336.1 Glutathione S-transferase	2
XP_011128801.1 PHD-zinc-finger-like domain protein	2
