# BUSCO version is: 5.8.3 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-02-25, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length
131at5794	Complete	ACNH67_003260-T1	375.2	243
288at5794	Complete	ACNH67_003692-T1	506.0	317
438at5794	Complete	ACNH67_000088-T1	804.9	393
596at5794	Complete	ACNH67_002301-T1	169.1	102
1669at5794	Complete	ACNH67_005048-T1	414.7	209
2329at5794	Complete	ACNH67_003621-T1	169.3	129
2798at5794	Complete	ACNH67_004832-T1	418.9	329
2981at5794	Complete	ACNH67_005624-T1	353.0	284
3250at5794	Complete	ACNH67_005305-T1	304.2	281
3276at5794	Missing
3510at5794	Complete	ACNH67_004696-T1	264.9	329
3740at5794	Missing
3782at5794	Complete	ACNH67_004609-T1	166.0	150
3876at5794	Missing
4079at5794	Complete	ACNH67_002495-T1	231.2	134
4131at5794	Complete	ACNH67_003159-T1	395.9	303
4331at5794	Fragmented	ACNH67_000898-T1	73.8	313
5090at5794	Missing
5439at5794	Complete	ACNH67_003550-T1	1402.9	964
5539at5794	Complete	ACNH67_005009-T1	138.9	265
5667at5794	Complete	ACNH67_005023-T1	170.8	279
7741at5794	Complete	ACNH67_005557-T1	287.9	184
7803at5794	Complete	ACNH67_001957-T1	464.8	349
7861at5794	Complete	ACNH67_001668-T1	422.8	247
7878at5794	Complete	ACNH67_003203-T1	371.0	208
7921at5794	Complete	ACNH67_002550-T1	68.1	117
8083at5794	Complete	ACNH67_000637-T1	154.6	130
8233at5794	Complete	ACNH67_004725-T1	350.6	289
8315at5794	Fragmented	ACNH67_002111-T1	178.7	263
8326at5794	Complete	ACNH67_001721-T1	285.2	142
8327at5794	Complete	ACNH67_002584-T1	113.7	161
8399at5794	Complete	ACNH67_002622-T1	406.3	284
8453at5794	Missing
8461at5794	Complete	ACNH67_004683-T1	226.8	140
8471at5794	Complete	ACNH67_003162-T1	1127.2	730
8569at5794	Complete	ACNH67_000359-T1	225.7	145
8628at5794	Complete	ACNH67_001738-T1	260.3	219
8796at5794	Complete	ACNH67_003463-T1	324.6	369
8812at5794	Complete	ACNH67_001328-T1	463.6	257
9051at5794	Complete	ACNH67_003254-T1	819.5	631
9112at5794	Complete	ACNH67_005101-T1	478.0	371
9198at5794	Fragmented	ACNH67_002984-T1	177.3	188
9558at5794	Fragmented	ACNH67_002624-T1	455.6	540
9567at5794	Missing
9663at5794	Complete	ACNH67_005631-T1	238.9	278
9716at5794	Complete	ACNH67_003696-T1	301.5	275
9722at5794	Complete	ACNH67_001156-T1	365.6	367
9831at5794	Missing
9903at5794	Complete	ACNH67_003155-T1	233.4	256
9998at5794	Complete	ACNH67_004386-T1	186.1	130
10182at5794	Fragmented	ACNH67_005139-T1	490.8	709
10285at5794	Complete	ACNH67_004186-T1	225.6	342
10332at5794	Fragmented	ACNH67_000818-T1	232.9	420
10486at5794	Complete	ACNH67_003122-T1	501.1	507
10895at5794	Complete	ACNH67_005460-T1	279.0	418
10954at5794	Duplicated	ACNH67_000139-T1	344.2	450
10954at5794	Duplicated	ACNH67_005122-T1	395.7	432
11080at5794	Complete	ACNH67_004093-T1	298.0	388
11330at5794	Complete	ACNH67_000779-T1	252.9	415
11341at5794	Complete	ACNH67_004380-T1	251.3	504
11416at5794	Complete	ACNH67_001641-T1	191.7	254
11466at5794	Missing
11488at5794	Fragmented	ACNH67_000426-T1	188.5	148
11496at5794	Missing
11519at5794	Complete	ACNH67_002835-T1	514.8	428
11538at5794	Complete	ACNH67_000614-T1	148.4	188
11552at5794	Complete	ACNH67_005400-T1	722.0	479
11563at5794	Fragmented	ACNH67_000124-T1	591.8	519
11750at5794	Fragmented	ACNH67_004791-T1	448.2	744
11788at5794	Missing
12091at5794	Complete	ACNH67_004091-T1	349.3	216
12206at5794	Complete	ACNH67_001684-T1	130.7	181
12214at5794	Complete	ACNH67_001454-T1	118.3	201
12280at5794	Missing
12327at5794	Complete	ACNH67_000850-T1	201.8	315
12484at5794	Fragmented	ACNH67_000847-T1	156.2	111
12878at5794	Complete	ACNH67_004635-T1	211.9	318
12887at5794	Complete	ACNH67_003477-T1	235.7	265
12975at5794	Duplicated	ACNH67_003452-T1	117.0	119
12975at5794	Duplicated	ACNH67_002073-T1	136.6	118
13279at5794	Complete	ACNH67_002394-T1	286.8	253
13281at5794	Missing
13310at5794	Complete	ACNH67_003707-T1	259.6	452
13315at5794	Complete	ACNH67_000940-T1	139.0	233
13369at5794	Fragmented	ACNH67_002342-T1	148.4	147
13548at5794	Complete	ACNH67_002162-T1	145.6	105
13630at5794	Complete	ACNH67_003486-T1	176.0	249
13731at5794	Complete	ACNH67_005243-T1	229.3	243
13853at5794	Missing
13899at5794	Complete	ACNH67_003827-T1	212.2	185
13921at5794	Complete	ACNH67_003390-T1	272.4	365
14090at5794	Complete	ACNH67_004324-T1	427.1	389
14108at5794	Missing
14164at5794	Complete	ACNH67_002611-T1	599.6	684
14250at5794	Complete	ACNH67_003145-T1	234.3	167
14463at5794	Fragmented	ACNH67_004320-T1	438.5	363
14555at5794	Complete	ACNH67_001463-T1	99.5	125
14579at5794	Complete	ACNH67_005043-T1	273.7	415
14591at5794	Missing
14730at5794	Complete	ACNH67_002818-T1	140.4	130
15005at5794	Missing
15046at5794	Complete	ACNH67_002255-T1	281.9	293
15094at5794	Missing
15130at5794	Missing
15169at5794	Complete	ACNH67_003103-T1	506.1	517
15301at5794	Missing
15360at5794	Complete	ACNH67_001701-T1	85.3	204
15389at5794	Complete	ACNH67_004298-T1	737.6	589
15422at5794	Complete	ACNH67_005258-T1	159.9	192
15559at5794	Complete	ACNH67_004598-T1	398.3	407
15680at5794	Complete	ACNH67_004182-T1	188.3	138
