First Sequence,Second Sequence,Identity Score
>GHUU01026408.1_TSA__Acheta_domesticus_RC_,>GJRY01025287.1_TSA__Gryllodes_sigillatus,1
>GHUU01026408.1_TSA__Acheta_domesticus_RC_,>Leidyana_gryllorum_18S_rRNA__contig_455_polished,1
>GHUU01026408.1_TSA__Acheta_domesticus_RC_,>Consensus_SRP273586_DRP012276_Gbimaculatus,0.976801
>GHUU01026408.1_TSA__Acheta_domesticus_RC_,>FJ459752_Leidyana_erratica,0.9326805
>GJRY01025287.1_TSA__Gryllodes_sigillatus,>Leidyana_gryllorum_18S_rRNA__contig_455_polished,1
>GJRY01025287.1_TSA__Gryllodes_sigillatus,>Consensus_SRP273586_DRP012276_Gbimaculatus,0.9705882
>GJRY01025287.1_TSA__Gryllodes_sigillatus,>FJ459752_Leidyana_erratica,0.9220104
>Leidyana_gryllorum_18S_rRNA__contig_455_polished,>Consensus_SRP273586_DRP012276_Gbimaculatus,0.9721284
>Leidyana_gryllorum_18S_rRNA__contig_455_polished,>FJ459752_Leidyana_erratica,0.9190252
>Consensus_SRP273586_DRP012276_Gbimaculatus,>FJ459752_Leidyana_erratica,0.8891868
