Protein	G_niphandrodes_count
XP_011134700.1 hypothetical protein GNI_243900	14
XP_011134699.1 hypothetical protein GNI_243890	12
XP_011131108.1 C2 domain protein	5
XP_011131737.1 fructose-bisphosphate aldolase	3
XP_011132063.1 putative Gag-pol polyprotein	2
XP_011133726.1 hypothetical protein GNI_197910,...	2
XP_011128818.1 putative elongation factor 1-alpha	2
XP_011133786.1 hypothetical protein GNI_205750	2
XP_011132658.1 putative RNA-binding protein	1
XP_011132666.1 hypothetical protein GNI_143690,...	1
XP_011132665.1 hypothetical protein GNI_143680	1
XP_011132664.1 hypothetical protein GNI_143670	1
XP_011132663.1 hypothetical protein GNI_143660	1
XP_011132662.1 putative transmembrane protein	1
XP_011132661.1 putative transmembrane protein	1
XP_011132660.1 hypothetical protein GNI_143540	1
XP_011132659.1 hypothetical protein GNI_143530	1
XP_011132648.1 hypothetical protein GNI_143150	1
XP_011132657.1 amine-terminal sedlin	1
XP_011132656.1 hypothetical protein GNI_143410,...	1
XP_011132667.1 hypothetical protein GNI_143790	1
XP_011132654.1 ABC transporter	1
XP_011132653.1 putative WD40 domain protein	1
XP_011132652.1 hypothetical protein GNI_143280	1
XP_011132651.1 putative transporter	1
XP_011132650.1 hypothetical protein GNI_143260	1
XP_011132649.1 sybindin-like family protein	1
XP_011132655.1 hypothetical protein GNI_143310	1
XP_011128431.1 hypothetical protein GNI_000010	1
XP_011132646.1 RNA polymerase III RPC4	1
XP_011132679.1 hypothetical protein GNI_148070	1
XP_011132688.1 C2 domain protein	1
XP_011132687.1 putative transmembrane protein	1
XP_011132686.1 carboxy-terminal domain cyclin	1
XP_011132685.1 putative centrin	1
XP_011132684.1 hypothetical protein GNI_148120	1
XP_011132683.1 S54 family peptidase	1
XP_011132682.1 putative transmembrane protein	1
XP_011132681.1 cholinephosphate cytidylyltransf...	1
XP_011132680.1 hypothetical protein GNI_148080	1
XP_011132678.1 hypothetical protein GNI_148060	1
XP_011132668.1 calpain	1
XP_011132677.1 putative transmembrane protein	1
XP_011132676.1 hypothetical protein GNI_148040	1
XP_011132675.1 hypothetical protein GNI_147940,...	1
XP_011132674.1 hypothetical protein GNI_147840	1
XP_011132673.1 hypothetical protein GNI_147830	1
XP_011132672.1 hypothetical protein GNI_147820	1
XP_011132671.1 malic enzyme NAD(P) protein	1
XP_011132670.1 GMP synthase	1
XP_011132669.1 actin	1
XP_011132647.1 tubulin beta chain	1
XP_011132644.1 phosphoadenosine phosphosulfate ...	1
XP_011132645.1 putative transmembrane protein	1
XP_011132608.1 hypothetical protein GNI_142020	1
XP_011132618.1 hypothetical protein GNI_142390	1
XP_011132617.1 hypothetical protein GNI_142290	1
XP_011132616.1 RNA-directed DNA polymerase	1
XP_011132615.1 hypothetical protein GNI_142270,...	1
XP_011132614.1 hypothetical protein GNI_142170	1
XP_011132613.1 putative proteasome 26S subunit,...	1
XP_011132612.1 putative CAMP-dependent protein ...	1
XP_011132611.1 putative transmembrane protein	1
XP_011132610.1 bromodomain protein	1
XP_011132609.1 putative transmembrane protein	1
XP_011132607.1 hypothetical protein GNI_142010	1
XP_011132690.1 hypothetical protein GNI_148180	1
XP_011132606.1 hypothetical protein GNI_142000	1
XP_011132605.1 protein serine/threonine kinase ...	1
XP_011132604.1 putative LCCL domain protein	1
XP_011132603.1 putative pre-rRNA-processing pro...	1
XP_011132602.1 MAK16 protein	1
XP_011132601.1 hypothetical protein GNI_141770	1
XP_011132600.1 hypothetical protein GNI_141760	1
XP_011132599.1 hypothetical protein GNI_141660,...	1
XP_011132598.1 hypothetical protein GNI_141560,...	1
XP_011132597.1 hypothetical protein GNI_141550,...	1
XP_011132619.1 hypothetical protein GNI_142400	1
XP_011132620.1 hypothetical protein GNI_142410,...	1
XP_011132621.1 hypothetical protein GNI_142510	1
XP_011132622.1 putative transmembrane protein	1
XP_011132643.1 hypothetical protein GNI_143100	1
XP_011132642.1 hypothetical protein GNI_143080,...	1
XP_011132641.1 WD repeat protein, partial	1
XP_011132640.1 hypothetical protein GNI_142970	1
XP_011132639.1 hypothetical protein GNI_142960	1
XP_011132638.1 putative DNA replication licensi...	1
XP_011132637.1 hypothetical protein GNI_142940	1
XP_011132636.1 OST-HTH associated domain protei...	1
XP_011132635.1 OST-HTH/LOTUS domain protein	1
XP_011132634.1 hypothetical protein GNI_142820	1
XP_011132633.1 putative transmembrane protein	1
XP_011132632.1 putative transmembrane protein	1
XP_011132631.1 ribosomal L1p/L10e family protein	1
XP_011132630.1 60S ribosomal protein L13a	1
XP_011132629.1 putative snoRNA-binding domain p...	1
XP_011132628.1 putative protein translocation c...	1
XP_011132627.1 putative signal recognition part...	1
XP_011132626.1 NMDA receptor-regulated protein 1	1
XP_011132625.1 PITH domain protein, partial	1
XP_011132624.1 ribonuclease HII	1
XP_011132623.1 eukaryotic translation initiatio...	1
XP_011132689.1 P-type ATPase-like protein	1
XP_011132693.1 coatomer protein	1
XP_011132691.1 SET domain protein	1
XP_011132740.1 putative polyadenylate-binding p...	1
XP_011132762.1 actin	1
XP_011132761.1 actin	1
XP_011132760.1 FMN-dependent NADH-azoreductase	1
XP_011132759.1 putative transport Sec61 alpha s...	1
XP_011132758.1 Not1 amine-terminal domain, CCR4...	1
XP_011132757.1 hypothetical protein GNI_150400,...	1
XP_011132756.1 hypothetical protein GNI_150390,...	1
XP_011132755.1 splicing factor 3a subunit 2, pa...	1
XP_011132754.1 hypothetical protein GNI_150280	1
XP_011132753.1 hypothetical protein GNI_150270	1
XP_011132752.1 MIF4G domain protein	1
XP_011132751.1 hypothetical protein GNI_150160	1
XP_011132750.1 chromosome condensation regulato...	1
XP_011132749.1 IQ calmodulin-binding motif prot...	1
XP_011132748.1 hypothetical protein GNI_149950	1
XP_011132747.1 hypothetical protein GNI_149850,...	1
XP_011132746.1 putative bacterial YaeB-like pro...	1
XP_011132745.1 hexokinase	1
XP_011132744.1 hypothetical protein GNI_149820	1
XP_011132743.1 hypothetical protein GNI_149810	1
XP_011132742.1 pre-rRNA-processing protein TSR2	1
XP_011132763.1 brix domain protein	1
XP_011132764.1 prefoldin subunit	1
XP_011132765.1 hypothetical protein GNI_150750	1
XP_011132777.1 putative U2 snRNP auxiliary factor	1
XP_011132786.1 5'-methylthioadenosine/S-adenosy...	1
XP_011132785.1 hypothetical protein GNI_151400	1
XP_011132784.1 protein kinase domain protein	1
XP_011132783.1 hypothetical protein GNI_151380	1
XP_011132782.1 hypothetical protein GNI_151370	1
XP_011132781.1 DNA-directed RNA polymerase RPB1...	1
XP_011132780.1 TRM112-like protein	1
XP_011132779.1 centrin	1
XP_011132778.1 ankyrin repeat protein, partial	1
XP_011132776.1 centrin	1
XP_011132766.1 putative transmembrane protein	1
XP_011132775.1 hypothetical protein GNI_151120	1
XP_011132774.1 hypothetical protein GNI_151110	1
XP_011132773.1 hypothetical protein GNI_151010,...	1
XP_011132772.1 putative GMC oxidoreductase, par...	1
XP_011132771.1 hypothetical protein GNI_150900	1
XP_011132770.1 TBC domain protein	1
XP_011132769.1 hypothetical protein GNI_150880	1
XP_011132768.1 putative transmembrane protein	1
XP_011132767.1 hypothetical protein GNI_150770	1
XP_011132741.1 hypothetical protein GNI_149790	1
XP_011132739.1 putative polyadenylate (poly(A))...	1
XP_011132692.1 putative diphthamide synthesis p...	1
XP_011132738.1 40S ribosomal protein S24	1
XP_011132713.1 hypothetical protein GNI_148970	1
XP_011132712.1 TBC domain protein, partial	1
XP_011132711.1 hypothetical protein GNI_148770	1
XP_011132710.1 hypothetical protein GNI_148760	1
XP_011132709.1 hypothetical protein GNI_148750	1
XP_011132708.1 hypothetical protein GNI_148550	1
XP_011132707.1 putative ubiquitin-like protein	1
XP_011132706.1 protein kinase domain protein	1
XP_011132705.1 C2 domain protein	1
XP_011132704.1 hypothetical protein GNI_148510	1
XP_011132703.1 flavodoxin-like fold protein	1
XP_011132702.1 hypothetical protein GNI_148390	1
XP_011132701.1 hypothetical protein GNI_148380	1
XP_011132700.1 hypothetical protein GNI_148370	1
XP_011132699.1 putative poly  polymerase	1
XP_011132698.1 endonuclease/exonuclease/phospha...	1
XP_011132697.1 putative transmembrane protein	1
XP_011132696.1 putative ubiquitin carboxyl-term...	1
XP_011132695.1 protein phosphatase 2C, partial	1
XP_011132694.1 adenylyl cyclase-associated protein	1
XP_011132595.1 hypothetical protein GNI_141440	1
XP_011132714.1 hypothetical protein GNI_148980	1
XP_011132715.1 hypothetical protein GNI_149080	1
XP_011132716.1 nucleolar 12, 25 kDa protein	1
XP_011132728.1 ankyrin repeat protein	1
XP_011132737.1 protein kinase, partial	1
XP_011132736.1 peroxiredoxin	1
XP_011132735.1 CobQ/CobB/MinD/ParA nucleotide-b...	1
XP_011132734.1 hypothetical protein GNI_149540	1
XP_011132733.1 AFG1 family ATPase	1
XP_011132732.1 proteasome subunit alpha type	1
XP_011132731.1 putative DHHC zinc finger protein	1
XP_011132730.1 putative tRNA-specific adenosine...	1
XP_011132729.1 hypothetical protein GNI_149490	1
XP_011132727.1 hypothetical protein GNI_149470	1
XP_011132717.1 Yip1 domain protein	1
XP_011132726.1 hypothetical protein GNI_149460,...	1
XP_011132725.1 UMP-CMP kinase	1
