#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ACNH67_002490-T1     -           1368 69164                -           1175  8.3e-258  856.7  56.0   1   2  1.7e-158  1.7e-156  521.1  55.6    10   948    18  1020    11  1031 0.84 ACNH67_002490
ACNH67_002490-T1     -           1368 69164                -           1175  8.3e-258  856.7  56.0   2   2  8.8e-102  8.8e-100  333.3   0.0   955  1167  1128  1341  1104  1346 0.94 ACNH67_002490
ACNH67_001620-T1     -           1449 69164                -           1175     9e-77  257.1  50.0   1   1   1.2e-78   1.2e-76  256.7  50.0    38  1145   300  1446   296  1448 0.78 ACNH67_001620
ACNH67_001427-T1     -           1251 69164                -           1175   8.2e-59  197.6  60.2   1   4     0.075       7.5    2.3   0.0    61   113     1    56     1    66 0.70 ACNH67_001427
ACNH67_001427-T1     -           1251 69164                -           1175   8.2e-59  197.6  60.2   2   4     8e-30     8e-28   95.0  50.9   117   947    85   937    69   984 0.70 ACNH67_001427
ACNH67_001427-T1     -           1251 69164                -           1175   8.2e-59  197.6  60.2   3   4     0.005      0.49    6.2   0.9   958  1038  1007  1087   991  1089 0.79 ACNH67_001427
ACNH67_001427-T1     -           1251 69164                -           1175   8.2e-59  197.6  60.2   4   4   2.3e-30   2.3e-28   96.8   0.0  1039  1163  1115  1241  1108  1249 0.90 ACNH67_001427
ACNH67_001094-T1     -           1242 69164                -           1175   1.1e-39  134.2  80.7   1   4   8.8e-08   8.8e-06   22.0  22.3   132   401    20   284     9   285 0.93 ACNH67_001094
ACNH67_001094-T1     -           1242 69164                -           1175   1.1e-39  134.2  80.7   2   4   3.8e-09   3.8e-07   26.5  35.2   693   954   144   402   142   427 0.84 ACNH67_001094
ACNH67_001094-T1     -           1242 69164                -           1175   1.1e-39  134.2  80.7   3   4   4.4e-18   4.4e-16   56.1  27.7   538  1045   477  1012   465  1018 0.71 ACNH67_001094
ACNH67_001094-T1     -           1242 69164                -           1175   1.1e-39  134.2  80.7   4   4   2.3e-16   2.3e-14   50.4   0.0  1074  1146  1114  1186  1111  1201 0.94 ACNH67_001094
ACNH67_001652-T1     -           1311 69164                -           1175   1.7e-10   37.6 161.7   1   5    0.0011      0.11    8.4  27.3   302   498    80   273    54   296 0.76 ACNH67_001652
ACNH67_001652-T1     -           1311 69164                -           1175   1.7e-10   37.6 161.7   2   5   3.9e-06   0.00039   16.5  35.5   237   507   299   571   282   575 0.93 ACNH67_001652
ACNH67_001652-T1     -           1311 69164                -           1175   1.7e-10   37.6 161.7   3   5    0.0072      0.72    5.7  28.0   287   478   551   742   542   777 0.74 ACNH67_001652
ACNH67_001652-T1     -           1311 69164                -           1175   1.7e-10   37.6 161.7   4   5   8.5e-08   8.4e-06   22.0  25.9   838  1018   793   971   783   981 0.90 ACNH67_001652
ACNH67_001652-T1     -           1311 69164                -           1175   1.7e-10   37.6 161.7   5   5   0.00087     0.087    8.7  19.5   802   979   979  1157   976  1177 0.76 ACNH67_001652
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   1   9   0.00035     0.035   10.0  32.7   693   956    60   321    34   339 0.79 ACNH67_001772
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   2   9   0.00028     0.028   10.4  31.2   298   501   312   510   299   523 0.84 ACNH67_001772
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   3   9   4.3e-05    0.0043   13.1  24.3   257   511   494   754   489   763 0.71 ACNH67_001772
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   4   9   4.1e-05     0.004   13.1  41.0   259   513   782  1043   760  1050 0.69 ACNH67_001772
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   5   9    0.0013      0.12    8.2  37.7   281   513   902  1127   890  1145 0.44 ACNH67_001772
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   6   9    0.0053      0.53    6.1  37.8   255   516  1048  1317  1045  1321 0.83 ACNH67_001772
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   7   9   0.00023     0.023   10.7  44.1   272   511  1298  1538  1293  1542 0.92 ACNH67_001772
ACNH67_001772-T1     -           2088 69164                -           1175   1.8e-10   37.5 280.4   8   9   6.7e-05    0.0066   12.4  39.1   684   971  1480  1751  1470  1756 0.71 ACNH67_001772
